name,type,mode,value,description,scope
component/button-secondary-border,color,dark,{primitive/zinc/500},"Component: secondary button (and secondary Button links) 1px edge. ≥3:1 on aura-bg-surface and -canvas in both themes (zinc-450 light 3.1–3.3:1, zinc-500 dark 3.7–4.1:1), so the pill is visible without its label. ADDED 4.7.1 (was aura-border-default, ~1.3:1).",ALL_FILLS
component/button-danger-bg,color,dark,{primitive/red/600},"Component: variant='danger' fill — red-700 light (white label 6.5:1), red-600 dark (4.8:1; red-700 would sink to 2.7:1 against the dark surface). Only for irreversible or destructive actions — usually the confirm button of a Dialog role='alertdialog'. ADDED 4.10.",ALL_FILLS
component/button-danger-bg-hover,color,dark,{primitive/red/700},"Component: danger button hover — red-800 light, red-700 dark (white label ≥6.5:1). ADDED 4.10.",ALL_FILLS
component/button-danger-fg,color,dark,{primitive/white},Component: label on the danger fill. ADDED 4.10.,ALL_FILLS
component/button-creative-bg,color,dark,{primitive/white},Component: Creative button fill (white in every theme). Label in aura-ink.,ALL_FILLS
component/button-creative-border,color,dark,{primitive/zinc/900},Component: Creative button 2px border.,ALL_FILLS
component/card-border,color,dark,{primitive/zinc/200},Component: card outline (light value; use aura-border-default where the card must follow theme).,ALL_FILLS
component/progress-track,color,dark,{semantic/bg-skeleton},Empty part of Progress and FileUpload bars (fill). Its edge carries the 3:1. ADDED 4.11.,ALL_FILLS
component/progress-track-edge,color,dark,{component/button-secondary-border},"1px inset edge of Progress / upload tracks: ≥3:1 on bg-surface and bg-canvas in both themes (WCAG 1.4.11), so the track reads without the fill. ADDED 4.11.",ALL_FILLS
spacing/space-0,number,light,0,,GAP
spacing/space-1,number,light,4,,GAP
spacing/space-2,number,light,8,,GAP
spacing/space-3,number,light,12,,GAP
spacing/space-4,number,light,16,,GAP
spacing/space-5,number,light,20,,GAP
spacing/space-6,number,light,24,,GAP
spacing/space-8,number,light,32,,GAP
spacing/space-10,number,light,40,,GAP
spacing/space-12,number,light,48,,GAP
spacing/space-16,number,light,64,,GAP
spacing/card-padding,number,light,24,,GAP
radius/radius-xs,number,light,4,,CORNER_RADIUS
radius/radius-sm,number,light,8,,CORNER_RADIUS
radius/radius-md,number,light,12,,CORNER_RADIUS
radius/radius-lg,number,light,16,,CORNER_RADIUS
radius/radius-xl,number,light,20,,CORNER_RADIUS
radius/radius-2xl,number,light,24,,CORNER_RADIUS
radius/radius-full,number,light,9999,,CORNER_RADIUS
radius/radius-squircle,number,light,20,,CORNER_RADIUS
radius/card-radius,number,light,20,,CORNER_RADIUS
radius/button-radius,number,light,9999,,CORNER_RADIUS
size/button-height,number,light,44,,GAP
size/button-height-sm,number,light,32,"Button size='sm': toolbars, table rows, card footers. Touch screens keep a 44px hit area around it. ADDED 4.16.",GAP
size/icon-sm,number,light,16,,GAP
size/icon-md,number,light,20,,GAP
size/icon-lg,number,light,24,,GAP
size/focus-ring-width,number,light,2,,GAP
size/focus-ring-offset,number,light,2,,GAP
size/table-select-width,number,light,40,,GAP
size/control-sm,number,light,32,,GAP
size/input-height,number,light,44,,GAP
size/switch-width,number,light,36,,GAP
size/switch-height,number,light,20,,GAP
size/avatar-sm,number,light,24,,GAP
size/avatar-md,number,light,32,,GAP
size/avatar-lg,number,light,40,,GAP
size/dialog-sm,number,light,400,,GAP
size/dialog-md,number,light,560,,GAP
size/dialog-lg,number,light,720,,GAP
size/sidenav-width,number,light,240,,GAP
size/sidenav-rail-width,number,light,64,SideNav collapsed to an icon-only rail (`collapsed`). ADDED 4.15.,GAP
size/bottomnav-height,number,light,56,BottomNav bar height above the safe-area inset; ActionBar in the viewport sits on top of it. ADDED 4.19.,GAP
size/tooltip-max,number,light,240,,GAP
size/drawer-sm,number,light,360,"Drawer width, small (filters, quick detail). ADDED 4.2.",GAP
size/drawer-md,number,light,480,"Drawer width, default (record detail). ADDED 4.2.",GAP
size/drawer-lg,number,light,640,"Drawer width, large (edit forms). ADDED 4.2.",GAP
size/container-max,number,light,1280,Container max width — matches aura-bp-xl. ADDED 4.2.,GAP
size/container-narrow,number,light,720,Narrow container for forms and reading. ADDED 4.2.,GAP
size/cal-cell,number,light,36,Calendar day cell (DatePicker). 40px on touch screens via media query. ADDED 4.2.,GAP
size/popover-max-height,number,light,320,Max height of Combobox listbox and DatePicker popover lists. ADDED 4.2.,GAP
size/input-font-size,number,light,14,"Text size in inputs, textareas, selects and pickers. Phones (<640px) use at least 16px so iOS Safari does not zoom on focus. ADDED 4.11.",GAP
size/touch-target,number,light,44,"Minimum hit area on touch screens (pointer: coarse): IconButton, and Radio / Checkbox / Switch rows (WCAG 2.5.5). ADDED 4.11.",GAP
size/table-row-height,number,light,48,DataTable row and header height. 40px in compact density on fine pointers; 48px on touch. ADDED 4.14.,GAP
